Req Index,Django Req Duration,AppServer Req Duration,App Job Duration
1,3.545063,3.405658,3.331914
2,2.377795,2.2715769999999997,2.195925
3,2.431879,2.231846,2.156055
4,2.386448,2.216818,2.138975
5,2.520287,2.374168,2.297688
6,2.438163,2.286639,2.203623
7,2.596126,2.371871,2.2893861
8,2.342252,2.1777800000000003,2.098403
9,2.365239,2.185337,2.1087101
10,2.390465,2.239249,2.1596602
11,2.264601,2.169045,2.0933609
12,2.35079,2.210769,2.136893
13,2.465668,2.3197929999999998,2.240381
14,2.381572,2.223475,2.143441
15,2.222217,2.0851129999999998,2.01103
16,2.283396,2.125835,2.043871
17,2.262108,2.1263069999999997,2.046982
18,3.182453,2.191244,2.1161
19,2.498024,2.327994,2.2534859
20,2.427914,2.251816,2.1740639
21,2.278017,2.192218,2.115895
22,2.28396,2.140058,2.065218
23,2.409925,2.193121,2.117599
24,2.419603,2.247669,2.176034
25,2.257804,2.128396,2.0531559
26,2.427064,2.268377,2.1774039
27,2.282703,2.1235049999999998,2.0483711
28,2.330453,2.153352,2.0751409
29,2.364631,2.19405,2.1202222
30,2.335104,2.191206,2.11705
31,2.627183,2.194657,2.117536
32,2.382658,2.236269,2.153441
33,2.365998,2.22839,2.1523221
34,2.347639,2.188077,2.1144421
35,2.392643,2.3011749999999997,2.2247131
36,2.434945,2.26534,2.1842411
37,2.256166,2.1088940000000003,2.0319891
38,2.332124,2.194089,2.1207571
39,2.325305,2.136642,2.06371
40,2.3475,2.20569,2.130367
41,2.370784,2.204237,2.1249011
42,2.254035,2.1480040000000002,2.070956
43,2.662579,2.259111,2.1814808
44,2.637911,2.167039,2.0879641
45,2.8552,2.420924,2.3374669
46,2.492344,2.337367,2.2525151
47,2.279814,2.133989,2.056518
48,2.319711,2.148521,2.0720279
49,2.380765,2.194838,2.113102
50,2.331318,2.1697889999999997,2.0932579
